Question	Answer	Source	Metadata
Can you ask me something about me?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask me anything about myself?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask me anything about me?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask me anything?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask me something? 	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask anything about myself?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask me why I'm here?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask anything?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Ask me something	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Ask me anything	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Ask me about something	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Ask me about anything	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Ask me a question	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask me a question? 	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Do you want to ask me anything? 	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
What do you want me to tell you about?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Don't you want to know about me? 	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Don't you want to ask me something?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Don't you want to ask me anything	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Don't you want to ask anything about me?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask me something about myself?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Do you want to ask me something?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
How about asking me something?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Do you want me to tell you anything? 	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Could you ask me something?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Could you ask me about something?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask something about myself?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask something about me?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Can you ask something?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Do you want to know anything about me? 	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Do you have any questions about me?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Would you ask me something	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
Any questions for me?	Nah, I'm good.	qna_chitchat_Witty	editorial:chitchat
